id,Fiscal Year Released,Recidivism Reporting Year,Main Supervising District,Release Type,Race - Ethnicity,Age At Release,Sex,Offense Classification,Offense Type,Offense Subtype,Return to Prison,Days to Return,Recidivism Type,New Offense Classification,New Offense Type,New Offense Sub Type,Target Population,Race,Ethnicity
1788,2010,2013,7JD,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1789,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Drug,Drug Possession,No,,No Recidivism,,,,No,Black , Non-Hispanic
1790,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,C Felony,Property,Theft,Yes,492.0,New,C Felony,Violent,Robbery,No,Black , Non-Hispanic
1791,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,556.0,New,D Felony,Drug,Trafficking,No,White , Non-Hispanic
1792,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Violent,Other Violent,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1793,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Violent,Other Violent,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1794,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,109.0,Tech,,,,No,White , Non-Hispanic
1795,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,Yes,631.0,Tech,,,,Yes,White , Non-Hispanic
1796,2010,2013,5JD,Special Sentence,White - Non-Hispanic,35-44,Male,D Felony,Violent,Sex,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1797,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1798,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1799,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1800,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1801,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1802,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1803,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1804,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1805,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1806,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1807,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1808,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1809,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,White , Non-Hispanic
1810,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,No,White , Non-Hispanic
1811,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Violent,Assault,No,,No Recidivism,,,,No,White , Non-Hispanic
1812,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Sex Offender Registry/Residency,Yes,912.0,New,Aggravated Misdemeanor,Public Order,Other Public Order,No,White , Non-Hispanic
1813,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1814,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Burglary,Yes,394.0,New,D Felony,Property,Burglary,No,Black , Non-Hispanic
1815,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Violent,Robbery,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1816,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,45-54,Female,D Felony,Public Order,OWI,No,,No Recidivism,,,,No,White , Hispanic
1817,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,1021.0,New,B Felony,Drug,Trafficking,Yes,White , Non-Hispanic
1818,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Property,Arson,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1819,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1820,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1821,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1822,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Murder/Manslaughter,No,,No Recidivism,,,,No,White , Non-Hispanic
1823,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Violent,Murder/Manslaughter,No,,No Recidivism,,,,No,White , Non-Hispanic
1824,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1825,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,1016.0,New,Aggravated Misdemeanor,Violent,Assault,No,White , Non-Hispanic
1826,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,657.0,New,Aggravated Misdemeanor,Property,Theft,No,White , Non-Hispanic
1827,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,648.0,New,Aggravated Misdemeanor,Violent,Assault,No,Black , Non-Hispanic
1828,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,No,White , Non-Hispanic
1829,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,No,White , Non-Hispanic
1830,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,No,White , Non-Hispanic
1831,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Weapons,No,,No Recidivism,,,,No,White , Non-Hispanic
1832,2010,2013,5JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,Yes,862.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes,White , Non-Hispanic
1833,2010,2013,3JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1834,2010,2013,2JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1835,2010,2013,2JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1836,2010,2013,2JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1837,2010,2013,NSD,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,482.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No,American Indian or Alaska Native , Non-Hispanic
1838,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1839,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1840,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1841,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1842,2010,2013,6JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1843,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1844,2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1845,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1846,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1847,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,Yes,758.0,New,C Felony,Property,Burglary,Yes,White , Non-Hispanic
1848,2010,2013,8JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1849,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Female,C Felony,Violent,Assault,No,,No Recidivism,,,,No,White , Non-Hispanic
1850,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,No,Black , Non-Hispanic
1851,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,No,Black , Non-Hispanic
1852,2010,2013,5JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1853,2010,2013,7JD,Parole,White - Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Hispanic
1854,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,665.0,New,D Felony,Property,Theft,No,White , Non-Hispanic
1855,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Property,Arson,Yes,101.0,New,C Felony,Property,Arson,Yes,White , Non-Hispanic
1856,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1857,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1858,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,D Felony,Violent,Assault,No,,No Recidivism,,,,No,Black , Non-Hispanic
1859,2010,2013,5JD,Parole,White - Hispanic,25-34,Male,D Felony,Property,Theft,Yes,68.0,Tech,,,,Yes,White , Hispanic
1860,2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,Yes,60.0,Tech,,,,Yes,White , Non-Hispanic
1861,2010,2013,3JD,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,Yes,1055.0,Tech,,,,Yes,White , Non-Hispanic
1862,2010,2013,5JD,Parole,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1863,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,Under 25,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,No,White , Hispanic
1864,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,Under 25,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,No,White , Hispanic
1865,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Property,Theft,Yes,296.0,Tech,,,,No,Black , Non-Hispanic
1866,2010,2013,6JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1867,2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1868,2010,2013,2JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1869,2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Theft,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1870,2010,2013,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Property,Theft,Yes,121.0,Tech,,,,Yes,White , Non-Hispanic
1871,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes,955.0,New,D Felony,Property,Forgery/Fraud,No,White , Non-Hispanic
1872,2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Other Drug,Yes,714.0,New,D Felony,Drug,Trafficking,Yes,White , Non-Hispanic
1873,2010,2013,6JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes,American Indian or Alaska Native , Non-Hispanic
1874,2010,2013,1JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1875,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Sex,No,,No Recidivism,,,,No,White , Non-Hispanic
1876,2010,2013,6JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Violent,Other Violent,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1877,2010,2013,4JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1878,2010,2013,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,Yes,266.0,Tech,,,,Yes,Black , Non-Hispanic
1879,2010,2013,7JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Vandalism,Yes,393.0,Tech,,,,Yes,White , Non-Hispanic
1880,2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,170.0,Tech,,,,Yes,Black , Non-Hispanic
1881,2010,2013,NSD,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Burglary,No,,No Recidivism,,,,No,American Indian or Alaska Native , Non-Hispanic
1882,2010,2013,5JD,Parole,Asian or Pacific Islander - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,Yes,Asian or Pacific Islander , Non-Hispanic
1883,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1884,2010,2013,5JD,Parole,Asian or Pacific Islander - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,Yes,Asian or Pacific Islander , Non-Hispanic
1885,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,965.0,Tech,,,,No,White , Non-Hispanic
1886,2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1887,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1888,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,446.0,New,Aggravated Misdemeanor,Property,Theft,No,Black , Non-Hispanic
1889,2010,2013,5JD,Parole,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1890,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,279.0,New,D Felony,Public Order,OWI,No,Black , Non-Hispanic
1891,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,No,,No Recidivism,,,,No,White , Non-Hispanic
1892,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,No,,No Recidivism,,,,No,White , Non-Hispanic
1893,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,No,,No Recidivism,,,,No,White , Non-Hispanic
1894,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,No,,No Recidivism,,,,No,White , Non-Hispanic
1895,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,537.0,New,D Felony,Violent,Assault,No,White , Non-Hispanic
1896,2010,2013,5JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1897,2010,2013,5JD,Parole,Black - Non-Hispanic,45-54,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1898,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,1076.0,New,Aggravated Misdemeanor,Violent,Assault,No,Black , Non-Hispanic
1899,2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1900,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,No,,No Recidivism,,,,No,Black , Non-Hispanic
1901,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,No,,No Recidivism,,,,No,Black , Non-Hispanic
1902,2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,463.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,White , Non-Hispanic
1903,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Traffic,No,,No Recidivism,,,,No,Black , Non-Hispanic
1904,2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1905,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Drug Possession,Yes,409.0,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No,Black , Non-Hispanic
1906,2010,2013,1JD,Parole,White - Hispanic,Under 25,Male,D Felony,Property,Theft,No,,No Recidivism,,,,Yes,White , Hispanic
1907,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1908,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1909,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1910,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1911,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1912,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1913,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1914,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1915,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1916,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1917,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1918,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1919,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1920,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1921,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1922,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1923,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1924,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1925,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1926,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1927,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1928,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1929,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1930,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,No,Black , Non-Hispanic
1931,2010,2013,2JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Burglary,Yes,179.0,Tech,,,,Yes,White , Non-Hispanic
1932,2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1933,2010,2013,1JD,Special Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Sex,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1934,2010,2013,8JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Violent,Robbery,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1935,2010,2013,4JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1936,2010,2013,NSD,Discharged – End of Sentence,Asian or Pacific Islander - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No,Asian or Pacific Islander , Non-Hispanic
1937,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,249.0,New,D Felony,Violent,Assault,No,White , Non-Hispanic
1938,2010,2013,NSD,Discharged – End of Sentence,White - Hispanic,Under 25,Male,D Felony,Drug,Other Drug,No,,No Recidivism,,,,No,White , Hispanic
1939,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,562.0,New,Aggravated Misdemeanor,Violent,Assault,No,White , Non-Hispanic
1940,2010,2013,1JD,Parole,White - Non-Hispanic,Under 25,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1941,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,289.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,No,White , Non-Hispanic
1942,2010,2013,NSD,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,C Felony,Property,Theft,Yes,310.0,Tech,,,,No,Black , Non-Hispanic
1943,2010,2013,NSD,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,282.0,New,Aggravated Misdemeanor,Public Order,Other Public Order,No,White , Non-Hispanic
1944,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1945,2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
1946,2010,2013,5JD,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Property,Arson,No,,No Recidivism,,,,Yes,Black , Non-Hispanic
1947,2010,2013,5JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes,White , Non-Hispanic
